<camA> <camB> <time> <dist> <route>
16 17 0 0 n/a
16 18 7 80 iykbGxilhPF^PvA?bA
17 18 0 0 n/a
18 16 8 84 oxkbGtolhPNo@OaBKo@
19 18 8 88 {xkbGr|lhPIq@@wA?kA
20 21 4 52 swkbGramhPZxB
22 21 13 157 qtkbGxtmhPg@oIEi@
22 23 0 0 n/a
23 21 13 157 qtkbGxtmhPg@oIEi@
24 22 5 56 eskbGp`nhPQeC
25 22 5 56 eskbGp`nhPQeC
25 26 0 0 n/a
26 22 5 56 eskbGp`nhPQeC
27 25 19 216 iokbGn_ohP_AeO
27 26 19 216 iokbGn_ohP_AeO
27 28 0 0 n/a
27 29 34 265 ankbGlnohP?RA@EBENANBLHJJBNCFI~@_@LOv@I~@It@IH??B?FBF@@Yx@IT
28 29 34 265 ankbGlnohP?RA@EBENANBLHJJBNCFI~@_@LOv@I~@It@IH??B?FBF@@Yx@IT
28 29 15 150 {mkbG|qohPPt@JR@Nb@bG
28 29 28 220 cmkbG|qohPC]@ABC^M`@SLOdBO~@KPA?B?FBD@BUn@M^
29 27 34 256 wekbGnqohPb@mAB@D@HAFI@OEMIGKBEJSFeDZoADAACCC]
29 28 34 256 wekbGnqohPb@mAB@D@HAFI@OEMIGKBEJSFeDZoADAACCC]
29 28 41 303 wekbGnqohPb@mAB@D@HAFI@OEMIGKBEJSFeDZoADAACCQGMDGLANBNFHH^
29 28 15 146 wkkbGz|ohPc@cGAi@Eo@
29 30 0 0 n/a
30 32 3 30 cskbG|qphPW`A
31 29 11 130 cskbG|qphPd@wApAwD
31 34 5 48 {skbG~sphPO|@Ep@
32 31 0 0 n/a
32 33 0 0 n/a
32 34 0 0 n/a
32 35 0 0 n/a
33 34 0 0 n/a
33 35 0 0 n/a
33 36 0 0 n/a
33 37 0 0 n/a
33 38 0 0 n/a
34 35 0 0 n/a
35 36 0 0 n/a
35 37 0 0 n/a
35 38 0 0 n/a
36 32 8 53 yukbGdeqhPGWAi@F}@
36 34 8 53 yukbGdeqhPGWAi@F}@
36 37 0 0 n/a
36 38 0 0 n/a
36 39 0 0 n/a
36 40 5 46 ipkbGvpqhPN`@M\K^
37 32 8 53 yukbGdeqhPGWAi@F}@
37 34 8 53 yukbGdeqhPGWAi@F}@
37 38 0 0 n/a
37 39 7 56 arkbGdmqhPv@pB
38 32 8 53 yukbGdeqhPGWAi@F}@
38 34 8 53 yukbGdeqhPGWAi@F}@
38 39 0 0 n/a
38 40 5 46 ipkbGvpqhPN`@M\K^
39 36 11 61 spkbGvsqhPJ_@L]\`A
40 36 0 0 n/a
40 38 6 48 {nkbGzsqhPm@cB
40 39 0 0 n/a
40 39 6 48 {nkbGzsqhPm@cB
